a_bicep,a_tricep,a_difference
0.4008644383724965,1.0,-0.5991355616275035
0.4015183246978465,1.0,-0.5984816753021536
0.40216438395927345,1.0,-0.5978356160407265
0.40280221405856087,1.0,-0.5971977859414391
0.4034317059007027,1.0,-0.5965682940992973
0.40405298964881614,1.0,-0.5959470103511839
0.40466621745979797,1.0,-0.5953337825402021
0.40527142819972023,1.0,-0.5947285718002797
0.4058685915449792,1.0,-0.5941314084550209
0.4064580996605917,1.0,-0.5935419003394082
0.4070414250750369,1.0,-0.5929585749249631
0.407620742774392,1.0,-0.592379257225608
0.4081976343816291,1.0,-0.5918023656183709
0.4087724369445009,1.0,-0.5912275630554991
0.40934469387125116,1.0,-0.5906553061287488
0.4099139256406897,1.0,-0.5900860743593104
0.4104801923685392,1.0,-0.5895198076314607
0.41104437374968356,1.0,-0.5889556262503164
0.41160797607098715,1.0,-0.5883920239290128
0.41217249483335194,1.0,-0.5878275051666481
0.41273896798406606,1.0,-0.5872610320159339
0.4133080275248317,1.0,-0.5866919724751682
0.4138800441217998,1.0,-0.5861199558782002
0.4144550850394993,1.0,-0.5855449149605008
0.4150328389140054,1.0,-0.5849671610859946
0.41561275578958534,1.0,-0.5843872442104147
0.4161944520633965,1.0,-0.5838055479366036
0.41677803206811365,1.0,-0.5832219679318864
0.4173639206683826,1.0,-0.5826360793316174
0.41795247459637846,1.0,-0.5820475254036215
0.4185438674837657,1.0,-0.5814561325162343
0.41913813982460535,1.0,-0.5808618601753947
0.4197351574556698,1.0,-0.5802648425443302
0.42033461593360216,1.0,-0.5796653840663979
0.4209362654358978,1.0,-0.5790637345641022
0.4215400965239071,1.0,-0.5784599034760929
0.4221461899362758,1.0,-0.5778538100637243
0.422754464868197,1.0,-0.577245535131803
0.42336459619902755,1.0,-0.5766354038009724
0.4239760595035011,1.0,-0.5760239404964989
0.4245883709161312,1.0,-0.5754116290838688
0.42520134936293413,1.0,-0.5747986506370659
0.4258150076770265,1.0,-0.5741849923229735
0.42642932064037437,1.0,-0.5735706793596256
0.4270440926899067,1.0,-0.5729559073100934
0.42765868065192264,1.0,-0.5723413193480773
0.42827181563271033,1.0,-0.5717281843672897
0.4288819684423402,1.0,-0.5711180315576598
0.42948795801212675,1.0,-0.5705120419878733
0.43008915270395853,1.0,-0.5699108472960415
0.43068516203072976,1.0,-0.5693148379692703
0.4312754257139172,1.0,-0.5687245742860828
0.4318590771427019,1.0,-0.5681409228572981
0.4324351371139628,1.0,-0.5675648628860372
0.4330027789173382,1.0,-0.5669972210826618
0.43356149431946667,1.0,-0.5664385056805333
0.4341111375768215,1.0,-0.5658888624231785
0.43465177551700596,1.0,-0.565348224482994
0.43518345442941436,1.0,-0.5648165455705856
0.43570578810030347,1.0,-0.5642942118996965
0.436217338482328,1.0,-0.563782661517672
0.4367157994726292,1.0,-0.5632842005273708
0.43719925492697265,1.0,-0.5628007450730274
0.4376669487632768,1.0,-0.5623330512367233
0.43811884199497575,1.0,-0.5618811580050243
0.43855488412832505,1.0,-0.5614451158716749
0.43897450863041654,1.0,-0.5610254913695835
0.43937621696273726,1.0,-0.5606237830372627
0.43975765542560924,1.0,-0.5602423445743907
0.440116501485058,1.0,-0.559883498514942
0.4404512984463274,1.0,-0.5595487015536726
0.44076141457547663,1.0,-0.5592385854245234
0.4410465849925548,1.0,-0.5589534150074452
0.44130676373553607,1.0,-0.5586932362644639
0.4415421900100864,1.0,-0.5584578099899136
0.44175323647314985,1.0,-0.5582467635268502
0.44194001314059156,1.0,-0.5580599868594085
0.4421020953107859,1.0,-0.5578979046892141
0.44223875388956785,1.0,-0.5577612461104322
0.4423494386268888,1.0,-0.5576505613731112
0.4424339167879969,1.0,-0.5575660832120031
0.44249212640677243,1.0,-0.5575078735932275
0.442524168233889,1.0,-0.557475831766111
0.44253042460651926,1.0,-0.5574695753934807
0.44251158327094336,1.0,-0.5574884167290566
0.44246856137856094,1.0,-0.5575314386214391
0.44240232874716556,1.0,-0.5575976712528344
0.4423135981642545,1.0,-0.5576864018357455
0.4422026273166034,1.0,-0.5577973726833966
0.4420693844905674,1.0,-0.5579306155094326
0.44191414367869297,1.0,-0.558085856321307
0.4417387085930984,1.0,-0.5582612914069016
0.44154729125702213,1.0,-0.5584527087429778
0.44134520311023806,1.0,-0.5586547968897619
0.44113641516983304,1.0,-0.558863584830167
0.4409227123811096,1.0,-0.5590772876188904
0.4407045659855257,1.0,-0.5592954340144742
0.4404821869087937,1.0,-0.5595178130912063
0.44025591820184623,1.0,-0.5597440817981538
0.44002605768658,1.0,-0.55997394231342
0.43979269315671365,1.0,-0.5602073068432863
0.43955579933762867,1.0,-0.5604442006623713
0.43931533865839884,1.0,-0.5606846613416012
0.4390712760735997,1.0,-0.5609287239264003
0.43882361713035617,1.0,-0.5611763828696439
0.4385724572190724,1.0,-0.5614275427809277
0.43831799945836725,1.0,-0.5616820005416328
0.43806054951572965,1.0,-0.5619394504842703
0.43780045825723346,1.0,-0.5621995417427665
0.43753805346370644,1.0,-0.5624619465362936
0.4372736968544345,1.0,-0.5627263031455655
0.437007834928348,1.0,-0.5629921650716521
0.4367408516630033,1.0,-0.5632591483369966
0.4364729433502916,1.0,-0.5635270566497084
0.4362041884567557,1.0,-0.5637958115432443
0.4359346526082184,1.0,-0.5640653473917816
0.43566442524893323,1.0,-0.5643355747510668
0.4353936034717076,1.0,-0.5646063965282924
0.43512225876974037,1.0,-0.5648777412302597
0.434850404775101,1.0,-0.565149595224899
0.4345779349116437,1.0,-0.5654220650883564
0.43430456065028666,1.0,-0.5656954393497133
0.4340298778572703,1.0,-0.5659701221427297
0.43375352891869084,1.0,-0.5662464710813091
0.4334752476898392,1.0,-0.5665247523101609
0.4331948012485592,1.0,-0.5668051987514409
0.4329119851595841,1.0,-0.5670880148404158
0.43262665810241285,1.0,-0.5673733418975871
0.43233875763408763,1.0,-0.5676612423659124
0.4320482887801971,1.0,-0.5679517112198029
0.4317553301640251,1.0,-0.5682446698359749
0.43146011592913547,1.0,-0.5685398840708645
0.43116305441784997,1.0,-0.56883694558215
0.4308644470344982,1.0,-0.5691355529655018
0.43056407118760737,1.0,-0.5694359288123927
0.43026118897652693,1.0,-0.5697388110234731
0.42995507528082394,1.0,-0.5700449247191761
0.4296454283910726,1.0,-0.5703545716089273
0.42933232345785916,1.0,-0.5706676765421408
0.4290160108821332,1.0,-0.5709839891178667
0.42869661435672457,1.0,-0.5713033856432754
0.4283732653312483,1.0,-0.5716267346687517
0.42804298952864345,1.0,-0.5719570104713565
0.42770101226250684,1.0,-0.5722989877374931
0.4273429172704872,1.0,-0.5726570827295128
0.426966528262011,1.0,-0.573033471737989
0.42657181234147595,1.0,-0.5734281876585241
0.42615944808025774,1.0,-0.5738405519197423
0.4257297242601394,1.0,-0.5742702757398606
0.4252825852310893,1.0,-0.5747174147689107
0.42481808875610577,1.0,-0.5751819112438943
0.42433646539815395,1.0,-0.575663534601846
0.42383800283399753,1.0,-0.5761619971660025
0.42332306882899495,1.0,-0.576676931171005
0.4227921989398273,1.0,-0.5772078010601727
0.42224606341405824,1.0,-0.5777539365859418
0.4216852398955811,1.0,-0.578314760104419
0.4211100515358002,1.0,-0.5788899484641998
0.4205206134091537,1.0,-0.5794793865908463
0.4199168565926983,1.0,-0.5800831434073017
0.41929847711900814,1.0,-0.5807015228809919
0.4186650251907687,1.0,-0.5813349748092314
0.41801618790922357,1.0,-0.5819838120907764
0.4173520623402704,1.0,-0.5826479376597296
0.41667316332510435,1.0,-0.5833268366748956
0.4159801523877323,1.0,-0.5840198476122678
0.41527361283728037,1.0,-0.5847263871627196
0.41455408342991384,1.0,-0.5854459165700862
0.413822192844473,1.0,-0.586177807155527
0.413078730071258,1.0,-0.586921269928742
0.4123247059374105,1.0,-0.5876752940625896
0.4115614655989877,1.0,-0.5884385344010123
0.4107905905917454,1.0,-0.5892094094082546
0.4100134476042532,1.0,-0.5899865523957468
0.40923086668964287,1.0,-0.5907691333103571
0.40844323570579494,1.0,-0.591556764294205
0.40765084682948916,1.0,-0.5923491531705108
0.4068544494163228,1.0,-0.5931455505836771
0.4060555332747655,1.0,-0.5939444667252345
0.4052557433070453,1.0,-0.5947442566929547
0.40445604661102874,1.0,-0.5955439533889713
0.40365657362220586,1.0,-0.5963434263777941
0.4028570032901552,1.0,-0.5971429967098447
0.40205698958058556,1.0,-0.5979430104194144
0.4012564207106185,1.0,-0.5987435792893815
0.40045553911006715,1.0,-0.5995444608899329
0.3996549008271602,1.0,-0.6003450991728398
0.3988550671657966,1.0,-0.6011449328342033
0.39805628113300023,1.0,-0.6019437188669998
0.39725844656731923,1.0,-0.6027415534326808
0.3964613338605989,1.0,-0.6035386661394011
0.39566474177752786,1.0,-0.6043352582224721
0.394868512758831,1.0,-0.605131487241169
0.394072593656561,1.0,-0.605927406343439
0.39327705459103807,1.0,-0.606722945408962
0.39248189132807454,1.0,-0.6075181086719255
0.39168691053635746,1.0,-0.6083130894636426
0.39089185594416115,1.0,-0.6091081440558388
0.39009659222857085,1.0,-0.6099034077714292
0.3893011691768302,1.0,-0.6106988308231698
0.38850573876944783,1.0,-0.6114942612305522
0.3877104455146078,1.0,-0.6122895544853921
0.38691538527467945,1.0,-0.6130846147253206
0.3861206593869985,1.0,-0.6138793406130014
0.38532638613960163,1.0,-0.6146736138603983
0.38453256078604914,1.0,-0.6154674392139509
0.38373897464992146,1.0,-0.6162610253500785
0.38294535987685213,1.0,-0.6170546401231478
0.38215171810722204,1.0,-0.617848281892778
0.3813586029743259,1.0,-0.6186413970256741
0.3805669759179188,1.0,-0.6194330240820811
0.3797777514898001,1.0,-0.6202222485101999
0.37899154088227904,1.0,-0.621008459117721
0.37820867478707143,1.0,-0.6217913252129286
0.3774293985931624,1.0,-0.6225706014068376
0.3766541912294586,1.0,-0.6233458087705415
0.3758837531510125,1.0,-0.6241162468489875
0.3751184975597297,1.0,-0.6248815024402703
0.3743584632292431,1.0,-0.6256415367707568
0.3736039803703668,1.0,-0.6263960196296332
0.37285585135531396,1.0,-0.627144148644686
0.37211458368055467,1.0,-0.6278854163194454
0.3713798769768377,1.0,-0.6286201230231623
0.37065101303662423,1.0,-0.6293489869633757
0.36992745045389647,1.0,-0.6300725495461035
0.36920899576902866,1.0,-0.6307910042309713
0.3684955596072844,1.0,-0.6315044403927156
0.3677866418251535,1.0,-0.6322133581748465
0.36708103182930557,1.0,-0.6329189681706944
0.36637730432855686,1.0,-0.6336226956714431
0.3656746234088899,1.0,-0.6343253765911101
0.36497285440700133,1.0,-0.6350271455929987
0.36427209888619944,1.0,-0.6357279011138006
0.363572598074099,1.0,-0.6364274019259011
0.3628750279288907,1.0,-0.6371249720711093
0.36218032848684667,1.0,-0.6378196715131533
0.3614891814466634,1.0,-0.6385108185533366
0.36080190485306995,1.0,-0.63919809514693
0.36011868268506947,1.0,-0.6398813173149305
0.3594396824325741,1.0,-0.6405603175674259
