Format Version,1.0,
Take Name,ExoTest2,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,21 Apr 2026 14:55:38 +0200,
Total Frames In Take,2265,
Total Exported Frames,22650,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
55,0.275000,558,-0.026210,-0.005533
55,0.275000,559,-0.020872,-0.005891
56,0.280000,560,-0.012274,-0.007096
56,0.280000,561,-0.003986,-0.008731
56,0.280000,562,0.002411,-0.009475
56,0.280000,563,0.006319,-0.008756
56,0.280000,564,0.007179,-0.007364
56,0.280000,565,0.007862,-0.006577
56,0.280000,566,0.009810,-0.005487
56,0.280000,567,0.007086,-0.004241
56,0.280000,568,0.002630,-0.004400
56,0.280000,569,-0.000949,-0.003697
57,0.285000,570,-0.005535,-0.002958
57,0.285000,571,-0.009580,-0.002459
57,0.285000,572,-0.013437,-0.001294
57,0.285000,573,-0.017573,0.000380
57,0.285000,574,-0.020572,-0.000308
57,0.285000,575,-0.022606,-0.001960
57,0.285000,576,-0.024081,-0.001690
57,0.285000,577,-0.026042,-0.000095
57,0.285000,578,-0.026673,0.000335
57,0.285000,579,-0.025675,-0.000847
58,0.290000,580,-0.028287,-0.001042
58,0.290000,581,-0.031869,0.000662
58,0.290000,582,-0.033889,0.001392
58,0.290000,583,-0.034603,-0.000118
58,0.290000,584,-0.034774,-0.001412
58,0.290000,585,-0.032233,-0.002153
58,0.290000,586,-0.027980,-0.003374
58,0.290000,587,-0.024862,-0.004603
58,0.290000,588,-0.021943,-0.005304
58,0.290000,589,-0.019736,-0.005302
59,0.295000,590,-0.020396,-0.003966
59,0.295000,591,-0.020942,-0.001768
59,0.295000,592,-0.022271,-0.000853
59,0.295000,593,-0.022222,-0.002188
59,0.295000,594,-0.019441,-0.002176
59,0.295000,595,-0.019190,-0.002188
59,0.295000,596,-0.019693,-0.002263
59,0.295000,597,-0.020247,-0.002523
59,0.295000,598,-0.019128,-0.002512
59,0.295000,599,-0.017135,-0.003328
60,0.300000,600,-0.017552,-0.004748
60,0.300000,601,-0.020185,-0.004999
60,0.300000,602,-0.022620,-0.004391
60,0.300000,603,-0.024198,-0.003682
60,0.300000,604,-0.023803,-0.004230
60,0.300000,605,-0.021179,-0.005612
60,0.300000,606,-0.022320,-0.006371
60,0.300000,607,-0.025869,-0.005717
60,0.300000,608,-0.028615,-0.006068
60,0.300000,609,-0.030039,-0.008970
61,0.305000,610,-0.029655,-0.011621
61,0.305000,611,-0.028389,-0.010955
61,0.305000,612,-0.028536,-0.008445
61,0.305000,613,-0.031102,-0.006625
61,0.305000,614,-0.034223,-0.006598
61,0.305000,615,-0.035355,-0.006891
61,0.305000,616,-0.034678,-0.005882
61,0.305000,617,-0.033994,-0.004456
61,0.305000,618,-0.036734,-0.003592
61,0.305000,619,-0.039997,-0.002567
62,0.310000,620,-0.040439,-0.003360
62,0.310000,621,-0.039573,-0.003874
62,0.310000,622,-0.035522,-0.004064
